name,team,span,mat,inns,no,runs,hs,ave,100,50,0
GAL Hearne,SA,1922-1924,3,5,0,59,28,11.80,0,0,2
GG Hearne,ENG,1892-1892,1,1,0,0,0,0.00,0,0,1
JT Hearne,ENG,1892-1899,12,18,4,126,40,9.00,0,0,3
JW Hearne,ENG,1911-1926,24,36,5,806,114,26.00,1,2,3
WK Hegg,ENG,1998-1999,2,4,0,30,15,7.50,0,0,0
PS Heine,SA,1955-1962,14,24,3,209,31,9.95,0,0,3
EE Hemmings,ENG,1982-1991,16,21,4,383,95,22.52,0,2,5
CW Henderson,SA,2001-2002,7,7,0,65,30,9.28,0,0,1
M Henderson,NZ,1930-1930,1,2,1,8,6,8.00,0,0,0
EH Hendren,ENG,1920-1935,51,83,9,3525,205*,47.63,7,21,4
M Hendrick,ENG,1974-1981,30,35,15,128,15,6.40,0,0,8
BE Hendricks,SA,2020-2020,1,2,1,9,5*,9.00,0,0,0
JL Hendriks,WI,1962-1969,20,32,8,447,64,18.62,0,2,4
HSTL Hendry,AUS,1921-1929,11,18,2,335,112,20.93,1,0,1
MC Henriques,AUS,2013-2016,4,8,1,164,81*,23.42,0,2,2
MJ Henry,NZ,2015-2023,21,27,6,462,72,22.00,0,4,6
O Henry,SA,1992-1993,3,3,0,53,34,17.66,0,0,0
HMRKB Herath,SL,1999-2018,93,144,28,1699,80*,14.64,0,3,23
C Heseltine,ENG,1896-1896,2,2,0,18,18,9.00,0,0,1
SO Hetmyer,WI,2017-2019,16,30,0,838,93,27.93,0,5,0
D Hettiarachchi,SL,2001-2001,1,2,1,0,0*,0.00,0,0,1
PA Hibbert,AUS,1977-1977,1,2,0,15,13,7.50,0,0,0
GA Hick,ENG,1991-2001,65,114,6,3383,178,31.32,6,18,11
JD Higgs,AUS,1978-1981,22,36,16,111,16,5.55,0,0,5
K Higgs,ENG,1965-1968,15,19,3,185,63,11.56,0,1,2
AMJ Hilditch,AUS,1979-1985,18,34,0,1073,119,31.55,2,6,3
BW Hilfenhaus,AUS,2009-2012,27,38,12,355,56*,13.65,0,1,8
A Hill,ENG,1877-1877,2,4,2,101,49,50.50,0,0,1
AJL Hill,ENG,1896-1896,3,4,0,251,124,62.75,1,1,0
C Hill,AUS,1896-1912,49,89,2,3412,191,39.21,7,19,9
JC Hill,AUS,1953-1955,3,6,3,21,8*,7.00,0,0,1
MJ Hilton,ENG,1950-1952,4,6,1,37,15,7.40,0,0,2
CFW Hime,SA,1896-1896,1,2,0,8,8,4.00,0,0,1
DD Hindlekar,IND,1936-1946,4,7,2,71,26,14.20,0,0,0
RO Hinds,WI,2002-2009,15,25,1,505,84,21.04,0,2,1
WW Hinds,WI,2000-2005,45,80,1,2608,213,33.01,5,14,6
GH Hirst,ENG,1897-1909,24,38,3,790,85,22.57,0,5,5
ND Hirwani,IND,1988-1996,17,22,12,54,17,5.40,0,0,5
JW Hitch,ENG,1911-1921,7,10,3,103,51*,14.71,0,1,1
ELG Hoad,WI,1928-1933,4,8,0,98,36,12.25,0,0,1
DE Hoare,AUS,1961-1961,1,2,0,35,35,17.50,0,0,1
JB Hobbs,ENG,1908-1930,61,102,7,5410,211,56.94,15,28,4
RNS Hobbs,ENG,1967-1971,7,8,3,34,15*,6.80,0,0,1
BJ Hodge,AUS,2005-2008,6,11,2,503,203*,55.88,1,2,0
JR Hodges,AUS,1877-1877,2,4,1,10,8,3.33,0,0,1
TG Hogan,AUS,1983-1984,7,12,1,205,42*,18.63,0,0,1
GB Hogg,AUS,1996-2008,7,10,3,186,79,26.57,0,1,0
RM Hogg,AUS,1978-1984,38,58,13,439,52,9.75,0,1,14
MJ Hoggard,ENG,2000-2008,67,92,27,473,38,7.27,0,0,19
TV Hohns,AUS,1989-1989,7,7,1,136,40,22.66,0,0,1
CK Holder,WI,2020-2020,1,2,2,21,13*,-,0,0,0
JO Holder,WI,2014-2023,62,110,17,2744,202*,29.50,3,12,9
RIC Holder,WI,1997-1999,11,17,2,380,91,25.33,0,2,1
VA Holder,WI,1969-1979,40,59,11,682,42,14.20,0,0,7
MA Holding,WI,1975-1987,60,76,10,910,73,13.78,0,6,15
GB Hole,AUS,1951-1955,18,33,2,789,66,25.45,0,6,2
DAJ Holford,WI,1966-1977,24,39,5,768,105*,22.58,1,3,3
JM Holland,AUS,2016-2018,4,7,5,6,3,3.00,0,0,0
RG Holland,AUS,1984-1986,11,15,4,35,10,3.18,0,0,7
WE Hollies,ENG,1935-1950,13,15,8,37,18*,5.28,0,0,4
AJ Hollioake,ENG,1997-1998,4,6,0,65,45,10.83,0,0,1
BC Hollioake,ENG,1997-1998,2,4,0,44,28,11.00,0,0,1
ERT Holmes,ENG,1935-1935,5,9,2,114,85*,16.28,0,1,2
P Holmes,ENG,1921-1932,7,14,1,357,88,27.46,0,4,3
JKC Holt,WI,1954-1959,17,31,2,1066,166,36.75,2,5,2
DT Hondo,ZIM,2001-2005,9,15,6,83,19,9.22,0,0,1
L Hone,ENG,1879-1879,1,2,0,13,7,6.50,0,0,0
DW Hookes,AUS,1977-1985,23,41,3,1306,143*,34.36,1,8,4
CL Hooper,WI,1987-2002,102,173,15,5762,233,36.46,13,27,13
KA Hope,WI,2017-2017,5,9,0,101,43,11.22,0,0,2
SD Hope,WI,2015-2021,38,72,3,1726,147,25.01,2,5,2
AJY Hopkins,AUS,1902-1909,20,33,2,509,43,16.41,0,0,4
GJ Hopkins,NZ,2008-2010,4,7,1,71,15,11.83,0,0,0
JL Hopwood,ENG,1934-1934,2,3,1,12,8,6.00,0,0,0
TP Horan,AUS,1877-1885,15,27,2,471,124,18.84,1,1,3
HV Hordern,AUS,1911-1912,7,13,2,254,50,23.09,0,1,1
AN Hornby,ENG,1879-1884,3,6,0,21,9,3.50,0,0,1
MJ Horne,NZ,1997-2003,35,65,2,1788,157,28.38,4,5,4
PA Horne,NZ,1987-1990,4,7,0,71,27,10.14,0,0,2
PM Hornibrook,AUS,1929-1930,6,7,1,60,26,10.00,0,0,1
MJ Horton,ENG,1959-1959,2,2,0,60,58,30.00,0,1,0
KW Hough,NZ,1959-1959,2,3,2,62,31*,62.00,0,0,0
DL Houghton,ZIM,1992-1997,22,36,2,1464,266,43.05,4,4,0
JM How,NZ,2006-2009,19,35,1,772,92,22.70,0,4,4
AB Howard,WI,1972-1972,1,-,-,-,-,-,-,-,-
ND Howard,ENG,1951-1952,4,6,1,86,23,17.20,0,0,0
GP Howarth,NZ,1975-1985,47,83,5,2531,147,32.44,6,11,7
HJ Howarth,NZ,1969-1977,30,42,18,291,61,12.12,0,1,7
H Howell,ENG,1920-1924,5,8,6,15,5,7.50,0,0,0
WP Howell,AUS,1898-1904,18,27,6,158,35,7.52,0,0,8
R Howorth,ENG,1947-1948,5,10,2,145,45*,18.12,0,0,0
AG Huckle,ZIM,1997-1998,8,14,3,74,28*,6.72,0,0,7
AC Hudson,SA,1992-1998,35,63,3,2007,163,33.45,4,13,7
KJ Hughes,AUS,1977-1984,70,124,6,4415,213,37.41,9,22,10
MG Hughes,AUS,1985-1994,53,70,8,1032,72*,16.64,0,2,10
PJ Hughes,AUS,2009-2013,26,49,2,1535,160,32.65,3,7,6
Humayun Farhat,PAK,2001-2001,1,2,0,54,28,27.00,0,0,0
GI Hume,IRE,2023-2023,2,4,0,22,14,5.50,0,0,1
MJ Humphreys,IRE,2023-2023,1,2,1,11,7,11.00,0,0,0
J Humphries,ENG,1908-1908,3,6,1,44,16,8.80,0,0,0
WA Hunt,AUS,1932-1932,1,1,0,0,0,0.00,0,0,1
CC Hunte,WI,1958-1967,44,78,6,3245,260,45.06,8,13,5
EAC Hunte,WI,1930-1930,3,6,1,166,58,33.20,0,2,0
J Hunter,ENG,1884-1885,5,7,2,93,39*,18.60,0,0,0
AG Hurst,AUS,1974-1979,12,20,3,102,26,6.00,0,0,10
A Hurwood,AUS,1930-1931,2,2,0,5,5,2.50,0,0,1
N Hussain,ENG,1990-2004,96,171,16,5764,207,37.18,14,33,14
MEK Hussey,AUS,2005-2013,79,137,16,6235,195,51.52,19,29,12
KL Hutchings,ENG,1907-1909,7,12,0,341,126,28.41,1,1,1
P Hutchinson,SA,1889-1889,2,4,0,14,11,3.50,0,0,2
L Hutton,ENG,1937-1955,79,138,15,6971,364,56.67,19,33,5
RA Hutton,ENG,1971-1971,5,8,2,219,81,36.50,0,2,1
LG Hylton,WI,1935-1939,6,8,2,70,19,11.66,0,0,0
KC Ibrahim,IND,1948-1949,4,8,0,169,85,21.12,0,1,1
Ibrahim Zadran,AFG,2019-2021,4,8,0,356,87,44.50,0,3,0
J Iddon,ENG,1935-1935,5,7,1,170,73,28.33,0,2,3
Iftikhar Ahmed,PAK,2016-2022,4,6,1,61,27,12.20,0,0,1
Iftikhar Anjum,PAK,2006-2006,1,1,1,9,9*,-,0,0,0
AP Igglesden,ENG,1989-1994,3,5,3,6,3*,3.00,0,0,2
Ihsanullah,AFG,2019-2019,3,6,1,110,65*,22.00,0,1,0
Ijaz Ahmed,PAK,1987-2001,60,92,4,3315,211,37.67,12,12,7
Ijaz Ahmed jnr,PAK,1995-1995,2,3,0,29,16,9.66,0,0,0
Ijaz Butt,PAK,1959-1962,8,16,2,279,58,19.92,0,1,1
Ijaz Faqih,PAK,1980-1988,5,8,1,183,105,26.14,1,0,2
JT Ikin,ENG,1946-1955,18,31,2,606,60,20.89,0,3,4
Ikram Alikhil,AFG,2019-2019,1,1,0,7,7,7.00,0,0,0
R Illingworth,ENG,1958-1973,61,90,11,1836,113,23.24,2,5,7
RK Illingworth,ENG,1991-1995,9,14,7,128,28,18.28,0,0,3
MC Ilott,ENG,1993-1995,5,6,2,28,15,7.00,0,0,0
Imam-ul-Haq,PAK,2018-2023,20,39,3,1417,157,39.36,3,7,4
Imran Butt,PAK,2021-2021,6,10,0,178,91,17.80,0,1,2
Imran Farhat,PAK,2001-2013,40,77,2,2400,128,32.00,3,14,3
Imran Khan,PAK,1971-1992,88,126,25,3807,136,37.69,6,18,8
Imran Khan,PAK,2014-2019,10,10,3,16,6,2.28,0,0,5
Imran Nazir,PAK,1999-2002,8,13,0,427,131,32.84,2,1,3
Imran Tahir,SA,2011-2015,20,23,9,130,29*,9.28,0,0,2
Imrul Kayes,BAN,2008-2019,39,76,2,1797,150,24.28,3,4,4
Imtiaz Ahmed,PAK,1952-1962,41,72,1,2079,209,29.28,3,11,9
KS Indrajitsinhji,IND,1964-1969,4,7,1,51,23,8.50,0,0,1
PJ Ingram,NZ,2010-2010,2,4,0,61,42,15.25,0,0,0
DJ Insole,ENG,1950-1957,9,17,2,408,110*,27.20,1,1,2
Intikhab Alam,PAK,1959-1977,47,77,10,1493,138,22.28,1,8,10
RJ Inverarity,AUS,1968-1972,6,11,1,174,56,17.40,0,1,1
Inzamam-ul-Haq,ICC/PAK,1992-2007,120,200,22,8830,329,49.60,25,46,15
Iqbal Qasim,PAK,1976-1988,50,57,15,549,56,13.07,0,1,10
JK Irani,IND,1947-1947,2,3,2,3,2*,3.00,0,0,1
RC Irani,ENG,1996-1999,3,5,0,86,41,17.20,0,0,0
FA Iredale,AUS,1894-1899,14,23,1,807,140,36.68,2,4,2
Irfan Fazil,PAK,2000-2000,1,2,1,4,3,4.00,0,0,0
H Ironmonger,AUS,1928-1933,14,21,5,42,12,2.62,0,0,6
DEJ Ironside,SA,1953-1954,3,4,2,37,13,18.50,0,0,0
BL Irvine,SA,1970-1970,4,7,0,353,102,50.42,1,2,0
Israr Ali,PAK,1952-1959,4,8,1,33,10,4.71,0,0,1
JB Iverson,AUS,1950-1951,5,7,3,3,1*,0.75,0,0,2
SS Iyer,IND,2021-2023,10,16,1,666,105,44.40,1,5,1
SD Jack,SA,1994-1995,2,2,0,7,7,3.50,0,0,1
RD Jackman,ENG,1981-1982,4,6,0,42,17,7.00,0,0,2
WG Jacks,ENG,2022-2022,2,4,0,89,31,22.25,0,0,0
A Jackson,AUS,1929-1931,8,11,1,474,164,47.40,1,2,1
Hon.FS Jackson,ENG,1893-1905,20,33,4,1415,144*,48.79,5,6,3
HL Jackson,ENG,1949-1961,2,2,1,15,8,15.00,0,0,0
RD Jacobs,WI,1998-2004,65,112,21,2577,118,28.31,3,14,12
A Jadeja,IND,1992-2000,15,24,2,576,96,26.18,0,4,1
RA Jadeja,IND,2012-2023,64,94,20,2658,175*,35.91,3,18,5
W Jaffer,IND,2000-2008,31,58,1,1944,212,34.10,5,11,6
AS Jaggernauth,WI,2008-2008,1,2,1,0,0*,0.00,0,0,1
M Jahangir Khan,IND,1932-1936,4,7,0,39,13,5.57,0,0,1
Jahurul Islam,BAN,2010-2013,7,14,1,347,48,26.69,0,0,2
LP Jai,IND,1933-1933,1,2,0,19,19,9.50,0,0,1
ML Jaisimha,IND,1959-1971,39,71,4,2056,129,30.68,3,12,9
Jalal-ud-Din,PAK,1982-1985,6,3,2,3,2,3.00,0,0,0
KC James,NZ,1930-1933,11,13,2,52,14,4.72,0,0,4
SP James,ENG,1998-1998,2,4,0,71,36,17.75,0,0,1
WR James,ZIM,1993-1994,4,4,0,61,33,15.25,0,0,0
JA Jameson,ENG,1971-1974,4,8,0,214,82,26.75,0,1,0
KA Jamieson,NZ,2020-2022,16,22,3,372,51*,19.57,0,1,3
RJD Jamshedji,IND,1933-1933,1,2,2,5,4*,-,0,0,0
M Jansen,SA,2021-2023,11,18,3,306,59,20.40,0,1,1
PA Jaques,AUS,2005-2008,11,19,0,902,150,47.47,3,6,1
DR Jardine,ENG,1928-1934,22,33,6,1296,127,48.00,1,10,2
BN Jarman,AUS,1959-1969,19,30,3,400,78,14.81,0,2,5
AH Jarvis,AUS,1885-1895,11,21,3,303,82,16.83,0,1,1
KM Jarvis,ZIM,2011-2020,13,24,10,128,25*,9.14,0,0,4
MP Jarvis,ZIM,1992-1994,5,3,1,4,2*,2.00,0,0,1
PW Jarvis,ENG,1988-1993,9,15,2,132,29*,10.15,0,0,1
TW Jarvis,NZ,1965-1973,13,22,1,625,182,29.76,1,2,6
Javed Ahmadi,AFG,2018-2021,3,6,0,113,62,18.83,0,1,0
Javed Akhtar,PAK,1962-1962,1,2,1,4,2*,4.00,0,0,0
Javed Burki,PAK,1960-1969,25,48,4,1341,140,30.47,3,4,3
Javed Miandad,PAK,1976-1993,124,189,21,8832,280*,52.57,23,43,6
Javed Omar,BAN,2001-2007,40,80,2,1720,119,22.05,1,8,5
HK Jayantilal,IND,1971-1971,1,1,0,5,5,5.00,0,0,0
RSA Jayasekera,SL,1982-1982,1,2,0,2,2,1.00,0,0,1
MDUS Jayasundera,SL,2015-2015,2,4,0,30,26,7.50,0,0,1
NGRP Jayasuriya,SL,2022-2023,7,9,0,56,16,6.22,0,0,1
ST Jayasuriya,SL,1991-2007,110,188,14,6973,340,40.07,14,31,15
DPMD Jayawardene,SL,1997-2014,149,252,15,11814,374,49.84,34,50,15
HAPW Jayawardene,SL,2000-2015,58,83,11,2124,154*,29.50,4,5,9
P Jayawickrama,SL,2021-2022,5,6,5,12,8*,12.00,0,0,1
JNT Seales,WI,2021-2022,10,15,8,41,13,5.85,0,0,2
S Jeganathan,SL,1983-1983,2,4,0,19,8,4.75,0,0,1
RO Jenkins,ENG,1948-1952,9,12,1,198,39,18.00,0,0,0
TJ Jenner,AUS,1970-1975,9,14,5,208,74,23.11,0,1,1
CB Jennings,AUS,1912-1912,6,8,2,107,32,17.83,0,0,2
KK Jennings,ENG,2016-2019,17,32,1,781,146*,25.19,2,1,4
GL Jessop,ENG,1899-1912,18,26,0,569,104,21.88,1,3,3
VB John,SL,1983-1984,6,10,5,53,27*,10.60,0,0,4
CL Johnson,SA,1896-1896,1,2,0,10,7,5.00,0,0,0
DJ Johnson,IND,1996-1996,2,3,1,8,5,4.00,0,0,0
HHH Johnson,WI,1948-1950,3,4,0,38,22,9.50,0,0,1
IWG Johnson,AUS,1946-1956,45,66,12,1000,77,18.51,0,6,10
LJ Johnson,AUS,1948-1948,1,1,1,25,25*,-,0,0,0
LR Johnson,WI,2014-2016,9,16,0,403,66,25.18,0,2,2
MG Johnson,AUS,2007-2015,73,109,16,2065,123*,22.20,1,11,19
NC Johnson,ZIM,1998-2000,13,23,1,532,107,24.18,1,4,3
RL Johnson,ENG,2003-2003,3,4,0,59,26,14.75,0,0,0
TF Johnson,WI,1939-1939,1,1,1,9,9*,-,0,0,0
WA Johnston,AUS,1947-1955,40,49,25,273,29,11.37,0,0,7
AH Jones,NZ,1987-1995,39,74,8,2922,186,44.27,7,11,2
AO Jones,ENG,1899-1909,12,21,0,291,34,13.85,0,0,2
CEL Jones,WI,1930-1935,4,7,0,63,19,9.00,0,0,0
DM Jones,AUS,1984-1992,52,89,11,3631,216,46.55,11,14,11
E Jones,AUS,1894-1902,19,26,1,126,20,5.04,0,0,5
GO Jones,ENG,2004-2006,34,53,4,1172,100,23.91,1,6,2
IJ Jones,ENG,1964-1968,15,17,9,38,16,4.75,0,0,2
PEW Jones,WI,1948-1951,9,11,2,47,10*,5.22,0,0,1
RA Jones,NZ,2003-2003,1,2,0,23,16,11.50,0,0,0
SP Jones,AUS,1882-1888,12,24,4,428,87,21.40,0,1,3
SP Jones,ENG,2002-2005,18,18,5,205,44,15.76,0,0,3
LM Jongwe,ZIM,2021-2021,1,2,0,56,37,28.00,0,0,0
CJ Jordan,ENG,2014-2015,8,11,1,180,35,18.00,0,0,0
AS Joseph,WI,2016-2023,28,42,0,533,86,12.69,0,2,10
DRE Joseph,WI,1999-1999,4,7,0,141,50,20.14,0,1,0
SC Joseph,WI,2004-2007,5,10,0,147,45,14.70,0,0,1
PG Joshi,IND,1951-1960,12,20,1,207,52*,10.89,0,1,3
SB Joshi,IND,1996-2000,15,19,2,352,92,20.70,0,1,2
LR Joslin,AUS,1968-1968,1,2,0,9,7,4.50,0,0,0
EC Joyce,IRE,2018-2018,1,2,0,47,43,23.50,0,0,0
Jubair Hossain,BAN,2014-2015,6,5,2,13,7*,4.33,0,0,1
BP Julian,AUS,1993-1995,7,9,1,128,56*,16.00,0,1,3
BD Julien,WI,1973-1977,24,34,6,866,121,30.92,2,3,0
RR Jumadeen,WI,1972-1979,12,14,10,84,56,21.00,0,1,2
Junaid Khan,PAK,2011-2015,22,28,11,122,17,7.17,0,0,5
Junaid Siddique,BAN,2008-2012,19,37,0,969,106,26.18,1,7,2
H Jupp,ENG,1877-1877,2,4,0,68,63,17.00,0,1,1
VWC Jupp,ENG,1921-1928,8,13,1,208,38,17.33,0,0,0
BR Jurangpathy,SL,1985-1986,2,4,0,1,1,0.25,0,0,3
Kabir Khan,PAK,1994-1995,4,5,2,24,10,8.00,0,0,1
I Kaia,ZIM,2023-2023,2,4,0,172,67,43.00,0,1,0
R Kaia,ZIM,2021-2021,3,6,0,59,48,9.83,0,0,4
M Kaif,IND,2000-2006,13,22,3,624,148*,32.84,1,3,1
T Kaitano,ZIM,2021-2021,1,2,0,94,87,47.00,0,1,0
S Kalavitigoda,SL,2005-2005,1,2,0,8,7,4.00,0,0,0
AI Kallicharran,WI,1972-1981,66,109,10,4399,187,44.43,12,21,10
JH Kallis,ICC/SA,1995-2013,166,280,40,13289,224,55.37,45,58,16
RS Kalpage,SL,1993-1999,11,18,2,294,63,18.37,0,2,0
S Randiv,SL,2010-2012,12,17,1,147,39,9.18,0,0,3
LWS Kaluperuma,SL,1982-1982,2,4,1,12,11*,4.00,0,0,2
SMS Kaluperuma,SL,1984-1988,4,8,0,88,23,11.00,0,0,1
RS Kaluwitharana,SL,1992-2004,49,78,4,1933,132*,26.12,3,9,5
VG Kambli,IND,1993-1995,17,21,1,1084,227,54.20,4,3,3
Kamran Akmal,PAK,2002-2010,53,92,6,2648,158*,30.79,6,12,14
Kamrul Islam Rabbi,BAN,2016-2018,7,14,5,51,25*,5.66,0,0,5
TP Kamungozi,ZIM,2014-2014,1,2,0,5,5,2.50,0,0,1
TE Kane,IRE,2018-2018,1,2,0,14,14,7.00,0,0,1
RB Kanhai,WI,1957-1974,79,137,6,6227,256,47.53,15,28,7
HH Kanitkar,IND,1999-2000,2,4,0,74,45,18.50,0,0,0
HS Kanitkar,IND,1974-1974,2,4,0,111,65,27.75,0,1,0
N Kapil Dev,IND,1978-1994,131,184,15,5248,163,31.05,8,27,16
AR Kapoor,IND,1994-1996,4,6,1,97,42,19.40,0,0,0
CK Kapugedera,SL,2006-2009,8,15,3,418,96,34.83,0,4,1
AH Kardar,IND/PAK,1946-1958,26,42,3,927,93,23.76,0,5,2
SS Karim,IND,2000-2000,1,1,0,15,15,15.00,0,0,0
KD Karthik,IND,2004-2018,26,42,1,1025,129,25.00,1,7,4
M Kartik,IND,2000-2004,8,10,1,88,43,9.77,0,0,2
C Karunaratne,SL,2019-2019,1,2,0,22,22,11.00,0,0,1
FDM Karunaratne,SL,2012-2023,86,164,6,6524,244,41.29,16,34,12
MS Kasprowicz,AUS,1996-2006,38,54,12,445,25,10.59,0,0,7
KT Kasuza,ZIM,2020-2021,7,12,1,249,63,22.63,0,1,2
SM Katich,AUS,2001-2010,56,99,6,4188,157,45.03,10,25,4
PHT Kaushal,SL,2014-2015,7,12,2,106,18,10.60,0,0,1
WW Keeton,ENG,1934-1939,2,4,0,57,25,14.25,0,0,1
HJ Keith,SA,1953-1957,8,16,1,318,73,21.20,0,2,3
C Kelleway,AUS,1910-1928,26,42,4,1422,147,37.42,3,6,1
JJ Kelly,AUS,1896-1905,36,56,17,664,46*,17.02,0,0,7
TJD Kelly,AUS,1877-1879,2,3,0,64,35,21.33,0,0,0
JM Kemp,SA,2001-2005,4,6,0,80,55,13.33,0,1,2
GA Kempis,SA,1889-1889,1,2,1,0,0*,0.00,0,0,1
TK Kendall,AUS,1877-1877,2,4,1,39,17*,13.00,0,0,0
AS Kennedy,ENG,1922-1923,5,8,2,93,41*,15.50,0,0,1
RJ Kennedy,NZ,1996-1996,4,5,1,28,22,7.00,0,0,2
RB Kenny,IND,1958-1960,5,10,1,245,62,27.22,0,3,2
MF Kent,AUS,1981-1981,3,6,0,171,54,28.50,0,2,0
ESM Kentish,WI,1948-1954,2,2,1,1,1*,1.00,0,0,1
D Kenyon,ENG,1951-1955,8,15,0,192,87,12.80,0,1,1
JL Kerr,NZ,1931-1937,7,12,1,212,59,19.27,0,1,2
RB Kerr,AUS,1985-1985,2,4,0,31,17,7.75,0,0,1
SC Kerrigan,ENG,2013-2013,1,1,1,1,1*,-,0,0,0
RWT Key,ENG,2002-2005,15,26,1,775,221,31.00,1,3,2
Khaled Mahmud,BAN,2001-2003,12,23,1,266,45,12.09,0,0,4
Khaled Mashud,BAN,2000-2007,44,84,10,1409,103*,19.04,1,3,11
Khalid Hasan,PAK,1954-1954,1,2,1,17,10,17.00,0,0,0
Khalid Ibadulla,PAK,1964-1967,4,8,0,253,166,31.62,1,0,0
Khalid Wazir,PAK,1954-1954,2,3,1,14,9*,7.00,0,0,0
A Khan,ENG,2009-2009,1,-,-,-,-,-,-,-,-
I Khan,SA,2009-2009,1,1,0,20,20,20.00,0,0,0
Z Khan,IND,2000-2014,92,127,24,1231,75,11.95,0,3,29
Khan Mohammad,PAK,1952-1958,13,17,7,100,26*,10.00,0,0,3
UT Khawaja,AUS,2011-2023,60,105,11,4495,195*,47.81,14,21,5
Khurram Manzoor,PAK,2009-2014,16,30,1,817,146,28.17,1,7,3
ET Killick,ENG,1929-1929,2,4,0,81,31,20.25,0,0,0
R Kilner,ENG,1924-1926,9,8,1,233,74,33.28,0,2,0
CL King,WI,1976-1980,9,16,3,418,100*,32.15,1,2,3
FM King,WI,1953-1956,14,17,3,116,21,8.28,0,0,4
JH King,ENG,1909-1909,1,2,0,64,60,32.00,0,1,0
LA King,WI,1962-1968,2,4,0,41,20,10.25,0,0,1
RD King,WI,1999-2005,19,27,8,66,12*,3.47,0,0,7
SP Kinneir,ENG,1911-1911,1,2,0,52,30,26.00,0,0,0
AF Kippax,AUS,1925-1934,22,34,1,1192,146,36.12,2,8,1
SMH Kirmani,IND,1976-1986,88,124,22,2759,102,27.04,2,12,7
G Kirsten,SA,1993-2004,101,176,15,7289,275,45.27,21,34,13
PN Kirsten,SA,1992-1994,12,22,2,626,104,31.30,1,4,2
RJ Kirtley,ENG,2003-2003,4,7,1,32,12,5.33,0,0,0
G Kishenchand,IND,1947-1952,5,10,0,89,44,8.90,0,0,5
H Klaasen,SA,2019-2023,4,8,0,104,35,13.00,0,0,0
RK Kleinveldt,SA,2012-2013,4,5,2,27,17*,9.00,0,0,2
LF Kline,AUS,1957-1961,13,16,9,58,15*,8.28,0,0,3
L Klusener,SA,1996-2004,49,69,11,1906,174,32.86,4,8,4
AE Knight,ENG,1904-1904,3,6,1,81,70*,16.20,0,1,3
BR Knight,ENG,1961-1969,29,38,7,812,127,26.19,2,0,2
DJ Knight,ENG,1921-1921,2,4,0,54,38,13.50,0,0,0
NV Knight,ENG,1995-2001,17,30,0,719,113,23.96,1,4,1
APE Knott,ENG,1967-1981,95,149,15,4389,135,32.75,5,30,8
NA Knox,ENG,1907-1907,2,4,1,24,8*,8.00,0,0,0
V Kohli,IND,2011-2023,108,183,11,8416,254*,48.93,28,28,14
JJ Kotze,SA,1902-1907,3,5,0,2,2,0.40,0,0,4
JJ Krejza,AUS,2008-2008,2,4,1,71,32,23.66,0,0,0
AG Kripal Singh,IND,1955-1964,14,20,5,422,100*,28.13,1,2,4
P Krishnamurthy,IND,1971-1971,5,6,0,33,20,5.50,0,0,2
CM Kuggeleijn,NZ,1988-1988,2,4,0,7,7,1.75,0,0,3
SC Kuggeleijn,NZ,2023-2023,1,2,0,22,20,11.00,0,0,0
HG Kuhn,SA,2017-2017,4,8,0,113,34,14.12,0,0,0
MP Kuhnemann,AUS,2023-2023,3,5,2,12,6,4.00,0,0,1
AP Kuiper,SA,1992-1992,1,2,0,34,34,17.00,0,0,1
CKB Kulasekara,SL,2011-2011,1,2,0,22,15,11.00,0,0,0
KMDN Kulasekara,SL,2005-2014,21,28,1,391,64,14.48,0,1,4
Kuldeep Yadav,IND,2017-2022,8,9,0,94,40,10.44,0,0,3
NM Kulkarni,IND,1997-2001,3,2,1,5,4,5.00,0,0,0
RR Kulkarni,IND,1986-1987,3,2,0,2,2,1.00,0,0,1
UN Kulkarni,IND,1967-1968,4,8,5,13,7,4.33,0,0,1
B Kumar,IND,2013-2018,21,29,4,552,63*,22.08,0,3,4
P Kumar,IND,2011-2011,6,10,0,149,40,14.90,0,0,2
VV Kumar,IND,1961-1961,2,2,0,6,6,3.00,0,0,1
CBRLS Kumara,SL,2016-2023,26,36,17,85,13*,4.47,0,0,11
A Kumble,IND,1990-2008,132,173,32,2506,110*,17.77,1,5,17
BK Kunderan,IND,1960-1967,18,34,4,981,192,32.70,2,3,1
DSBP Kuruppu,SL,1987-1991,4,7,1,320,201*,53.33,1,0,0
AK Kuruppuarachchi,SL,1986-1987,2,2,2,0,0*,-,0,0,0
A Kuruvilla,IND,1997-1997,10,11,1,66,35*,6.60,0,0,5
F Kuys,SA,1899-1899,1,2,0,26,26,13.00,0,0,1
GF Labrooy,SL,1986-1991,9,14,3,158,70*,14.36,0,1,3
M Labuschagne,AUS,2018-2023,37,64,5,3394,215,57.52,10,15,3
BM Laird,AUS,1979-1982,21,40,2,1341,92,35.28,0,11,2
JC Laker,ENG,1948-1959,46,63,15,676,63,14.08,0,2,6
RAS Lakmal,SL,2010-2022,70,109,25,934,42,11.11,0,0,21
MKGCP Lakshitha,SL,2002-2002,2,3,0,42,40,14.00,0,0,1
Lall Singh,IND,1932-1932,1,2,0,44,29,22.00,0,0,0
AJ Lamb,ENG,1982-1992,79,139,10,4656,142,36.09,14,18,9
GA Lamb,ZIM,2011-2011,1,2,0,46,39,23.00,0,0,0
R Lamba,IND,1986-1987,4,5,0,102,53,20.40,0,1,1
